"","komitet","procent"
"1","Liczba wyborców",564
"2","Liczba kart oddanych",372
"3","Liczba głosów ważnych",320
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",2.81
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",79.38
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",0.62
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",14.38
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.62
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.62
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.62
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.94
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
